,Demonstration Type,Num Features,MSE
0,RADER,2,7.996980863361001
1,Physical,2,17.803460315456093
2,RADER,2,1.427680717336171
3,Physical,2,40.89104269105186
4,RADER,2,6.324322921350015
5,Physical,2,9.078316495069776
6,RADER,2,4.671064432689148
7,Physical,2,8.774119412080598
8,RADER,2,5.22902851474465
9,Physical,2,7.352372923192923
10,RADER,2,17.743032378303344
11,Physical,2,22.731980800165807
12,RADER,2,15.862681740087794
13,Physical,2,10.529340957797029
14,RADER,2,6.122031811517528
15,Physical,2,3.2298475823748096
16,RADER,2,4.001156517646086
17,Physical,2,32.16493208550885
18,RADER,2,5.996123933381231
19,Physical,2,36.988366077839196
20,RADER,3,5.405069029223637
21,Physical,3,9.100713401763146
22,RADER,3,3.5615169569156575
23,Physical,3,6.1426367996126805
24,RADER,3,3.4751401597221125
25,Physical,3,6.856003560636302
26,RADER,3,7.988637712828684
27,Physical,3,13.954728082787915
28,RADER,3,13.587460639146371
29,Physical,3,38.93156378267015
30,RADER,3,36.534314086269994
31,Physical,3,8.626328149161433
32,RADER,3,7.688188913550964
33,Physical,3,6.945323383340372
34,RADER,3,1.175344729355637
35,Physical,3,5.727985065957369
36,RADER,3,5.550501215775538
37,Physical,3,22.190481890760132
38,RADER,3,6.33445506451412
39,Physical,3,7.191649122017897
40,RADER,4,1.4380257117278923
41,Physical,4,11.309947001873208
42,RADER,4,4.107695889568085
43,Physical,4,8.332518133545555
44,RADER,4,2.1715558672376534
45,Physical,4,6.525577199201948
46,RADER,4,8.123425378934625
47,Physical,4,5.5061987480853825
48,RADER,4,1.8179300254136812
49,Physical,4,4.903586632250202
50,RADER,4,1.0568665146428096
51,Physical,4,3.9876867658091855
52,RADER,4,1.6850224151297768
53,Physical,4,19.35470093510005
54,RADER,4,26.723927004713996
55,Physical,4,13.452462765321627
56,RADER,4,1.3804623535196805
57,Physical,4,6.136106269395908
58,RADER,4,3.01471291597206
59,Physical,4,5.108093762312399
60,RADER,5,1.7626606017518534
61,Physical,5,2.814990613571109
62,RADER,5,2.528283112139118
63,Physical,5,5.599592819578582
64,RADER,5,2.2343438650916325
65,Physical,5,6.696843753971429
66,RADER,5,3.601167125379999
67,Physical,5,3.984623610985215
68,RADER,5,3.1660309451307467
69,Physical,5,2.870819714325852
70,RADER,5,5.745917054697197
71,Physical,5,6.905709388403576
72,RADER,5,4.49813496880527
73,Physical,5,6.2468846805771285
74,RADER,5,1.533212102597258
75,Physical,5,44.36707072108075
76,RADER,5,1.7951381426100583
77,Physical,5,2.0194706861571112
78,RADER,5,4.193102499036483
79,Physical,5,4.2007460208149405
80,RADER,6,1.550321144950108
81,Physical,6,35.08511995601778
82,RADER,6,2.245532495535659
83,Physical,6,7.636150680775878
84,RADER,6,2.2132385463554907
85,Physical,6,8.430376748090984
86,RADER,6,2.4002016520948333
87,Physical,6,3.938435769629612
88,RADER,6,4.441743134855017
89,Physical,6,6.581498729717922
90,RADER,6,2.414118375264899
91,Physical,6,4.57394716697871
92,RADER,6,11.208800181950684
93,Physical,6,6.578343985870853
94,RADER,6,2.043248224457742
95,Physical,6,25.222226037900487
96,RADER,6,5.940202242940038
97,Physical,6,9.237278425026053
98,RADER,6,2.4314075105677286
99,Physical,6,6.871024890535703
100,RADER,7,1.424955755166336
101,Physical,7,5.124329457724408
102,RADER,7,1.3735355153655542
103,Physical,7,6.171970099425062
104,RADER,7,1.2296712622733024
105,Physical,7,5.971553126087817
106,RADER,7,2.5935909326816056
107,Physical,7,2.1731465524824745
108,RADER,7,1.453606395535456
109,Physical,7,6.239508210472362
110,RADER,7,4.61965132615852
111,Physical,7,3.7313979108223845
112,RADER,7,1.4879360052731245
113,Physical,7,3.114120158316395
114,RADER,7,1.1986384648675203
115,Physical,7,4.788147432055749
116,RADER,7,1.5823682720964416
117,Physical,7,2.6157479647642066
118,RADER,7,1.202336189807751
119,Physical,7,3.26953513307849
120,RADER,8,1.4603064721842547
121,Physical,8,3.849838893591759
122,RADER,8,3.4678899098755522
123,Physical,8,3.2252462780928104
124,RADER,8,1.2708677722844464
125,Physical,8,1.9042904655310882
126,RADER,8,1.3856417608619789
127,Physical,8,3.8216646915371095
128,RADER,8,1.1202234908995576
129,Physical,8,8.098669842768308
130,RADER,8,1.1543608389791749
131,Physical,8,3.996406380185756
132,RADER,8,3.0181839206699284
133,Physical,8,4.5762703393376265
134,RADER,8,1.490123750580164
135,Physical,8,23.13367284249891
136,RADER,8,2.3810740202996303
137,Physical,8,2.4822957148072105
138,RADER,8,1.7998854311383878
139,Physical,8,7.29992833175849
140,RADER,9,5.120372533660884
141,Physical,9,6.932835697744362
142,RADER,9,2.653606274368718
143,Physical,9,4.854942299100787
144,RADER,9,1.369471837853144
145,Physical,9,5.510724029148926
146,RADER,9,3.5951294991606657
147,Physical,9,3.346515245639951
148,RADER,9,2.2134648538653696
149,Physical,9,3.459667049703
150,RADER,9,2.3925825220128494
151,Physical,9,3.823776933524304
152,RADER,9,1.8616551933655676
153,Physical,9,2.751915621131211
154,RADER,9,2.7626346840998113
155,Physical,9,5.495881174854153
156,RADER,9,3.5125307783755115
157,Physical,9,8.84326970717754
158,RADER,9,2.33142918466684
159,Physical,9,2.1799082366678046
160,RADER,10,1.225894426417727
161,Physical,10,1.743910479684714
162,RADER,10,1.4137003245801218
163,Physical,10,3.1133105739409923
164,RADER,10,1.744292286827531
165,Physical,10,3.61554268050538
166,RADER,10,2.2528833656736516
167,Physical,10,5.030224937772223
168,RADER,10,1.6429998608479568
169,Physical,10,2.592786150040879
170,RADER,10,2.8508206501406232
171,Physical,10,3.348066733022328
172,RADER,10,1.0927393123239213
173,Physical,10,5.2661698819249985
174,RADER,10,0.9628528286825838
175,Physical,10,2.049665489847967
176,RADER,10,1.081136749557548
177,Physical,10,1.9433801355927747
178,RADER,10,2.9873228567074315
179,Physical,10,9.111754649803414
