,Demonstration Type,Num Features,MSE
0,RADER,10,12.292784902967572
1,Physical,10,16.666106856351202
2,RADER,10,11.659545168797191
3,Physical,10,14.221293245575914
4,RADER,10,10.72452476201503
5,Physical,10,15.069138688125378
6,RADER,10,15.208400814428641
7,Physical,10,15.64179582423522
8,RADER,10,14.375385441656068
9,Physical,10,15.090499622115392
10,RADER,10,11.494630151845424
11,Physical,10,15.115249617272092
12,RADER,10,11.001792835752045
13,Physical,10,16.670312401415266
14,RADER,10,12.622655277058193
15,Physical,10,14.805800005653902
16,RADER,10,14.25344213851335
17,Physical,10,14.069626256962467
18,RADER,10,12.788711052475607
19,Physical,10,13.368690566379524
